Date,Open,High,Low,Close,Adj Close,Volume
2018-08-07,255.979996,256.760010,255.649994,256.119995,252.204681,2394500
2018-08-08,255.970001,256.119995,255.380005,255.619995,251.712326,1876800
2018-08-09,255.759995,256.230011,255.000000,255.160004,251.259354,1676200
2018-08-10,253.679993,253.899994,252.399994,253.300003,249.427780,4796900
2018-08-13,253.570007,253.960007,251.699997,252.039993,248.187073,3686700
2018-08-14,252.759995,253.550003,252.229996,253.210007,249.339157,2815800
2018-08-15,251.839996,252.199997,249.860001,251.759995,247.911331,5804000
2018-08-16,254.369995,256.410004,254.279999,255.940002,252.027435,7919200
2018-08-17,255.229996,257.119995,255.029999,256.510010,253.120834,3902500
2018-08-20,257.109985,257.720001,256.970001,257.429993,254.028641,2930700
2018-08-21,257.929993,258.700012,257.760010,258.070007,254.660202,3290900
2018-08-22,258.000000,258.200012,257.049988,257.179993,253.781937,3850600
2018-08-23,256.799988,257.559998,255.979996,256.489990,253.101059,2811900
2018-08-24,257.239990,258.179993,256.989990,257.850006,254.443085,3631500
2018-08-27,259.250000,260.649994,259.250000,260.579987,257.137024,4111600
2018-08-28,261.299988,261.320007,260.350006,260.640015,257.196289,2713600
2018-08-29,260.799988,261.769989,260.440002,261.329987,257.877106,2433900
2018-08-30,260.739990,261.149994,259.450012,260.010010,256.574524,3867200
2018-08-31,259.589996,260.489990,258.980011,259.850006,256.416687,3081800
2018-09-04,259.220001,259.920013,258.209991,259.730011,256.298309,2945000
2018-09-05,259.220001,260.309998,258.920013,259.920013,256.485718,3282400
2018-09-06,260.140015,261.049988,259.040009,260.290009,256.850891,3878500
2018-09-07,259.329987,260.339996,258.459991,259.540009,256.110779,3796400
2018-09-10,260.519989,260.649994,258.859985,258.940002,255.518707,2247600
2018-09-11,258.100006,260.510010,257.820007,260.029999,256.594299,3072900
2018-09-12,260.149994,261.769989,259.579987,260.250000,256.811401,4971200
2018-09-13,261.420013,262.220001,260.989990,261.779999,258.321136,2472300
2018-09-14,262.010010,262.470001,261.019989,261.890015,258.429718,3077700
2018-09-17,261.720001,262.190002,260.640015,260.980011,257.531769,2473500
2018-09-18,261.250000,263.529999,261.179993,262.910004,259.436249,2998900
2018-09-19,263.100006,264.989990,263.100006,264.420013,260.926300,4001000
2018-09-20,266.000000,267.309998,265.989990,267.040009,263.511719,5247100
2018-09-21,267.549988,267.609985,266.589996,267.119995,264.130646,3944500
2018-09-24,266.679993,266.700012,265.250000,265.420013,262.449677,3778600
2018-09-25,266.029999,266.119995,264.529999,264.730011,261.767426,1820400
2018-09-26,264.809998,265.839996,263.269989,263.779999,260.828064,3365900
2018-09-27,264.250000,265.369995,263.589996,264.250000,261.292786,2440100
2018-09-28,263.559998,264.940002,263.500000,264.399994,261.441071,3288800
2018-10-01,266.100006,267.149994,265.739990,266.730011,263.745026,5828100
2018-10-02,266.109985,268.019989,266.049988,267.570007,264.575684,4553400
2018-10-03,268.769989,269.279999,267.670013,267.950012,264.951355,5827700
2018-10-04,267.690002,267.709991,264.579987,266.250000,263.270416,8720900
2018-10-05,266.339996,266.619995,262.899994,264.320007,261.361969,7477100
2018-10-08,263.250000,265.209991,262.079987,264.829987,261.866241,6236400
2018-10-09,264.380005,265.320007,263.140015,264.230011,261.273041,4559100
2018-10-10,264.040009,264.119995,255.800003,256.059998,253.194427,12292000
2018-10-11,254.729996,256.730011,248.860001,250.270004,247.469238,15270300
2018-10-12,254.360001,254.610001,249.929993,253.300003,250.465317,8634400
2018-10-15,252.869995,254.740005,252.339996,252.339996,249.516068,5500900
2018-10-16,254.619995,258.109985,253.979996,257.920013,255.033646,7099800
2018-10-17,256.920013,258.019989,254.669998,256.970001,254.094238,6822400
2018-10-18,256.109985,256.859985,252.320007,253.679993,250.841049,8694600
2018-10-19,254.229996,255.979996,253.339996,254.320007,251.627655,6618300
2018-10-22,255.070007,255.440002,252.199997,253.039993,250.361191,4662600
2018-10-23,249.039993,252.929993,247.520004,251.669998,249.005707,7360500
2018-10-24,252.399994,252.889999,245.179993,245.639999,243.039536,7624300
2018-10-25,247.330002,250.929993,246.250000,249.770004,247.125824,5920200
